Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,ImpliedVolatility,Delta,Gamma,Vega,Rho,OpenInterest,UnderlyingPrice,DataDate
AAPL,06/16/17,7.25,,6.8,,7.21,put,160,8,0.1981,-0.856,3.6895,7.0443,,2234,153.18,06/1/17
AAPL,06/16/17,0.28,,0.25,,0.27,put,146,469,0.1879,-0.0998,3.0052,5.4422,,2851,153.18,06/1/17
AAPL,06/16/17,0.06,,0.05,,0.04,put,134,390,0.3153,-0.0167,0.4244,1.2899,,230,153.18,06/1/17
AAPL,06/16/17,1.64,,1.55,,1.6,put,152.5,1451,0.1593,-0.4376,7.968,12.2338,,5715,153.18,06/1/17
AAPL,06/16/17,0.46,,0.43,,0.5,put,148,220,0.1739,-0.1595,4.4971,7.5383,,2541,153.18,06/1/17
AAPL,06/16/17,17.25,,16.6,,16.1,put,170,0,0.3684,-0.9125,1.3898,4.9352,,18,153.18,06/1/17
AAPL,06/16/17,0.83,,0.76,,0.78,put,150,1770,0.1666,-0.2607,6.279,10.085,,32026,153.18,06/1/17
AAPL,06/16/17,32.2,,31.6,,29.62,put,185,0,0.5648,-0.9442,0.642,3.4949,,10,153.18,06/1/17
AAPL,06/16/17,3,,2.86,,2.9,put,155,767,0.158,-0.6367,7.6526,11.651,,26778,153.18,06/1/17
AAPL,06/16/17,5,,4.6,,5.07,put,157.5,48,0.1763,-0.7757,5.4705,9.2956,,356,153.18,06/1/17
AAPL,06/16/17,0.19,,0.17,,0.18,put,144,242,0.2063,-0.0666,2.0177,4.0119,,2294,153.18,06/1/17
AAPL,06/16/17,27.1,,26.6,,27.09,put,180,1245,0.4713,-0.9495,0.7103,3.2267,,41552,153.18,06/1/17
AAPL,06/16/17,0.08,,0.06,,0.08,put,137,180,0.2824,-0.0238,0.64,1.7424,,64,153.18,06/1/17
AAPL,06/16/17,0.11,,0.09,,0.11,put,140,257,0.2492,-0.0352,1.0045,2.4125,,22337,153.18,06/1/17
AAPL,06/16/17,0.14,,0.12,,0.14,put,142,1520,0.227,-0.0472,1.3976,3.0577,,366,153.18,06/1/17
AAPL,06/16/17,0.22,,0.2,,0.22,put,145,658,0.1949,-0.0791,2.4347,4.5746,,42221,153.18,06/1/17
AAPL,06/16/17,127.25,,126.6,,126.9,put,280,0,1.4567,-0.971,0.1465,2.0565,,0,153.18,06/1/17
AAPL,06/16/17,52.25,,51.6,,52.05,put,205,0,0.8131,-0.954,0.3821,2.9945,,0,153.18,06/1/17
AAPL,06/16/17,0.07,,0.06,,0.08,put,136,10,0.2918,-0.0205,0.5468,1.5381,,108,153.18,06/1/17
AAPL,06/16/17,0.36,,0.33,,0.36,put,147,106,0.1812,-0.1266,3.6921,6.4468,,1697,153.18,06/1/17
AAPL,06/16/17,0.62,,0.57,,0.62,put,149,166,0.1701,-0.2053,5.3854,8.8292,,3096,153.18,06/1/17
AAPL,06/16/17,0.04,,0.03,,0.04,put,130,126,0.3559,-0.0104,0.2493,0.8553,,19793,153.18,06/1/17
AAPL,06/16/17,9.75,,9.15,,9.37,put,162.5,0,0.2443,-0.8782,2.6654,6.2772,,285,153.18,06/1/17
AAPL,06/16/17,22.25,,21.55,,22.02,put,175,0,0.4429,-0.9247,1.0324,4.4074,,11,153.18,06/1/17
AAPL,06/16/17,37.25,,36.6,,34.63,put,190,0,0.6412,-0.9443,0.5646,3.4894,,0,153.18,06/1/17
AAPL,06/23/17,0.1,,0.06,,0.09,put,135,24,0.2687,-0.0255,0.5888,2.2364,,795,153.18,06/1/17
AAPL,06/23/17,3.45,,3.2,,3.48,put,155,176,0.1622,-0.6075,6.3012,14.4525,,732,153.18,06/1/17
AAPL,06/23/17,0.23,,0.18,,0.24,put,142,71,0.2086,-0.0657,1.6302,4.8085,,904,153.18,06/1/17
AAPL,06/23/17,0.07,,0.03,,0.34,put,131,0,0.3049,-0.0166,0.3606,1.5543,,30,153.18,06/1/17
AAPL,06/23/17,0.32,,0.27,,0.31,put,144,13,0.1938,-0.0924,2.2725,6.2266,,1089,153.18,06/1/17
AAPL,06/23/17,0.12,,0.08,,0.09,put,137,3,0.25,-0.032,0.7632,2.6973,,48,153.18,06/1/17
AAPL,06/23/17,0.93,,0.86,,0.98,put,149,15,0.1681,-0.2436,4.9583,11.7837,,649,153.18,06/1/17
AAPL,06/23/17,0.59,,0.53,,0.58,put,147,23,0.1764,-0.1645,3.7349,9.3169,,685,153.18,06/1/17
AAPL,06/23/17,2.08,,1.95,,2.05,put,152.5,171,0.1614,-0.4459,6.5136,14.863,,1015,153.18,06/1/17
AAPL,06/23/17,0.39,,0.34,,0.37,put,145,69,0.1877,-0.1118,2.6943,7.1515,,1274,153.18,06/1/17
AAPL,06/23/17,0.14,,0.1,,0.13,put,138,2,0.2432,-0.0375,0.894,3.0738,,309,153.18,06/1/17
AAPL,06/23/17,0.75,,0.68,,0.76,put,148,46,0.173,-0.2019,4.3284,10.5858,,390,153.18,06/1/17
AAPL,06/23/17,5.25,,4.9,,5.5,put,157.5,5,0.1674,-0.743,5.1228,12.1228,,256,153.18,06/1/17
AAPL,06/23/17,0.06,,0.02,,0.04,put,130,5,0.3107,-0.0142,0.3094,1.3594,,215,153.18,06/1/17
AAPL,06/23/17,0.15,,0.11,,0.12,put,139,0,0.2323,-0.0414,1.0146,3.3327,,331,153.18,06/1/17
AAPL,06/23/17,0.2,,0.16,,0.22,put,141,20,0.2169,-0.0564,1.3913,4.2661,,208,153.18,06/1/17
AAPL,06/23/17,7.45,,6.95,,7.66,put,160,0,0.1861,-0.8232,3.7085,9.7561,,813,153.18,06/1/17
AAPL,06/23/17,9.8,,9.25,,8.97,put,162.5,0,0.209,-0.8692,2.7033,7.9901,,9,153.18,06/1/17
AAPL,06/23/17,0.09,,0.05,,0.07,put,134,2,0.2772,-0.0226,0.5157,2.0209,,102,153.18,06/1/17
AAPL,06/23/17,12.25,,11.65,,11.39,put,165,0,0.2386,-0.892,2.0684,6.9782,,3,153.18,06/1/17
AAPL,06/23/17,1.18,,1.1,,1.16,put,150,436,0.1655,-0.2944,5.5401,12.9627,,2222,153.18,06/1/17
AAPL,06/23/17,0.08,,0.04,,0.09,put,132,0,0.298,-0.0191,0.4152,1.7494,,17,153.18,06/1/17
AAPL,06/23/17,0.48,,0.42,,0.48,put,146,23,0.1822,-0.1358,3.1828,8.1972,,533,153.18,06/1/17
AAPL,06/23/17,0.08,,0.05,,0.09,put,133,0,0.285,-0.0199,0.4494,1.8111,,96,153.18,06/1/17
AAPL,06/23/17,0.04,,0,,0.06,put,124,0,0.3677,-0.0085,0.1667,0.8668,,1,153.18,06/1/17
AAPL,06/30/17,0.04,,0,,0.04,put,121,0,0.3531,-0.0077,0.1394,0.9175,,13,153.18,06/1/17
AAPL,06/30/17,0.55,,0.5,,0.54,put,145,50,0.1818,-0.1355,2.7739,9.3978,,3941,153.18,06/1/17
AAPL,06/30/17,0.09,,0.05,,0.08,put,131,0,0.2759,-0.02,0.4072,2.0937,,54,153.18,06/1/17
AAPL,06/30/17,0.81,,0.75,,0.83,put,147,36,0.1733,-0.1917,3.6469,11.7805,,594,153.18,06/1/17
AAPL,06/30/17,0.18,,0.14,,0.21,put,138,0,0.2224,-0.0446,0.9805,4.0642,,214,153.18,06/1/17
AAPL,06/30/17,0.24,,0.19,,0.23,put,140,23,0.2099,-0.0601,1.3162,5.1484,,2528,153.18,06/1/17
AAPL,06/30/17,0.1,,0.06,,0.11,put,132,0,0.2689,-0.0225,0.4613,2.3118,,5,153.18,06/1/17
AAPL,06/30/17,0.38,,0.33,,0.38,put,143,9,0.1914,-0.0958,2.0589,7.3432,,237,153.18,06/1/17
AAPL,06/30/17,0.46,,0.41,,0.45,put,144,15,0.1869,-0.1145,2.3971,8.3515,,405,153.18,06/1/17
AAPL,06/30/17,17.25,,16.6,,14.36,put,170,0,0.2671,-0.9105,1.4026,6.9823,,1,153.18,06/1/17
AAPL,06/30/17,0.08,,0.04,,0.07,put,130,0,0.2823,-0.0177,0.3576,1.882,,10,153.18,06/1/17
AAPL,06/30/17,5.55,,5.25,,5.48,put,157.5,17,0.1671,-0.7132,4.7199,14.7013,,226,153.18,06/1/17
AAPL,06/30/17,1.49,,1.42,,1.47,put,150,111,0.1648,-0.3159,4.9997,15.355,,1087,153.18,06/1/17
AAPL,06/30/17,12.3,,11.7,,12.3,put,165,1,0.2148,-0.8838,2.1083,8.4394,,5,153.18,06/1/17
AAPL,06/30/17,1.22,,1.16,,1.27,put,149,55,0.1674,-0.2695,4.5717,14.2617,,475,153.18,06/1/17
AAPL,06/30/17,3.8,,3.55,,3.98,put,155,140,0.1625,-0.5912,5.5363,16.7715,,868,153.18,06/1/17
AAPL,06/30/17,0.05,,0.01,,0.17,put,124,0,0.3296,-0.0101,0.1885,1.158,,1,153.18,06/1/17
AAPL,06/30/17,7.6,,7.25,,7.75,put,160,0,0.1755,-0.8028,3.6628,11.9832,,188,153.18,06/1/17
AAPL,06/30/17,0.67,,0.61,,0.65,put,146,17,0.1777,-0.1617,3.1933,10.5776,,2624,153.18,06/1/17
AAPL,06/30/17,2.44,,2.31,,2.49,put,152.5,689,0.1618,-0.4504,5.6655,17.09,,1527,153.18,06/1/17
AAPL,06/30/17,1,,0.94,,1.01,put,148,43,0.1706,-0.2285,4.1082,13.0624,,1488,153.18,06/1/17
AAPL,06/30/17,0.16,,0.12,,0.18,put,137,0,0.2296,-0.0392,0.8548,3.6589,,39,153.18,06/1/17
AAPL,06/30/17,0.11,,0.07,,0.08,put,133,0,0.2613,-0.0251,0.5204,2.5348,,8,153.18,06/1/17
